0,1,2,3,4,5,6,7,8,9,10,11,12,label
-517.0367,7.061164,-11.737836,7.512391,-27.740807,10.752563,-5.812244,0.45517713,-1.5586145,4.045688,-1.8300301,4.6763463,-0.55709034,birds
-350.68036,59.502316,-6.4102707,20.357943,-6.5748444,17.470308,-5.955889,5.8821354,0.41063344,-0.36092672,-1.3932831,4.519295,-2.9009888,birds
-356.71692,-51.27327,-44.63394,14.369547,-14.498056,-1.1856314,-0.92003155,-9.641597,3.873213,-11.489652,-7.933979,-1.7975606,-12.294783,birds
-333.12527,-36.874115,-78.64096,6.633325,-17.215357,0.08261802,-14.236683,2.6903846,3.1975114,-5.387274,-3.5284579,2.8109448,-6.9477463,birds
-314.3185,32.47824,-35.809013,-12.059039,-24.616106,-11.111755,-15.581216,-9.479573,4.750291,17.164099,14.939947,25.218723,-22.004772,cat
-207.37361,75.783844,-12.542203,27.069399,-5.638833,18.184977,-4.9301143,5.376169,-9.553589,12.235609,7.56766,22.949886,-4.064075,cat
-447.92078,16.914042,-11.223945,12.675631,-1.6580445,4.9952435,-2.5803638,9.487633,-0.16846982,4.4682136,-1.4137136,3.0171006,-2.2425828,cat
-257.5956,106.15734,17.278448,11.397875,4.458802,19.91756,13.401462,16.476448,-0.73099446,11.454034,-2.1440074,8.466037,10.264345,cat
-131.55714,106.605896,-41.13203,-17.785326,-36.390423,-19.522446,-17.49518,12.424849,-16.528502,-4.67417,-11.319865,-3.036124,-9.961963,dog
-279.1712,82.9865,-43.337048,-30.219652,-23.091724,-23.183825,-17.65844,-9.713057,-13.769836,-3.0110226,-4.280557,0.861664,2.7680368,dog
-482.01636,96.567764,-3.6515162,-31.388416,-11.315513,-4.3846526,-12.953183,4.3886733,4.130462,8.021442,3.6201425,2.7682734,0.58629084,dog
-341.48566,102.98834,-52.82804,-44.28838,-14.991285,-10.58394,-10.798633,3.6485693,-0.17535853,-2.164773,-3.28877,3.9360452,-5.784197,dog
-219.4,94.41832,-85.47025,-46.649826,-24.621872,-21.200089,-5.3015695,6.3897033,-5.010528,7.536369,10.475353,3.3556173,0.6411431,dog
-226.54898,81.21312,-52.506165,4.0401664,6.673658,-12.3265705,-21.681807,0.41384396,16.044056,5.566541,1.766995,16.474796,-7.7959595,horse
-250.90688,32.702072,-48.380157,0.4680091,5.5914507,4.887429,-4.610987,-12.143373,-11.205852,-3.3625154,-17.545927,0.3712857,-5.2003202,horse
-174.37245,157.96738,-8.543066,12.970454,-3.4962265,8.952561,19.53273,7.3544607,-2.2014313,16.4325,5.2260714,-2.1503036,1.0110105,lion
-300.92337,90.45857,17.520956,14.711497,-6.712269,10.366033,5.6251073,13.977386,3.9959009,6.90596,-3.271177,0.456678,-3.1053264,lion
-373.6368,73.61226,13.482602,34.181023,16.384607,9.099371,8.935246,8.663449,12.143159,8.4911585,3.5333788,0.66639227,5.834452,lion
-307.4187,119.514404,11.307381,15.930805,-0.1835295,8.43734,-1.048161,4.658841,1.1581284,2.9608285,-2.5162013,2.1209302,-4.1067786,lion
-252.53563,88.58074,14.900034,19.996197,6.1020494,24.207481,12.84591,15.915109,3.453461,3.9801319,2.2937222,1.9432987,-4.6773953,lion
-112.93361,51.592545,-68.64396,4.895677,-4.028166,-7.4973197,-11.556333,-6.180149,-12.400638,-12.128976,-1.0264153,-12.494416,-14.222952,monkey
-270.6605,76.28326,-83.45935,-9.473394,-18.738302,-4.1542006,4.3044477,18.974981,-3.0254734,4.719423,-0.23361179,10.822582,-1.7835842,monkey
